timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-06,276.29,288.38,273.1,285.55,273.428984598,6383530,0.0,1.0
2021-01-07,287.77,295.8894,286.68,291.65,279.270052033,4009730,0.0,1.0
2021-01-08,292.0,292.28,285.06,290.08,277.766695332,2800784,0.0,1.0
2021-01-11,286.8,295.0,284.2,293.83,281.357515477,2650134,0.0,1.0
2021-01-12,297.14,303.98,296.02,302.21,289.381801559,4785415,0.0,1.0
2021-01-13,300.08,303.72,299.1,302.94,290.080814547,2413821,0.0,1.0
2021-01-14,304.05,309.41,303.54,307.87,294.801546097,3192169,0.0,1.0
2021-01-15,301.19,304.86,296.88,301.01,288.232739113,3863723,0.0,1.0
2021-01-19,305.0,306.6,293.8031,294.2,281.711809731,6727794,0.0,1.0
2021-01-20,295.82,297.45,287.48,290.47,278.140140627,4792644,0.0,1.0
2021-01-21,290.45,292.74,288.53,289.37,277.086833385,2517753,0.0,1.0
2021-01-22,286.69,290.59,285.5,289.39,277.105984426,2568757,0.0,1.0
2021-01-25,285.53,286.35,277.5,283.04,271.025528981,4575007,0.0,1.0
2021-01-26,283.93,285.77,280.08,281.76,269.799862372,3296846,0.0,1.0
2021-01-27,276.0,277.37,271.3201,273.33,261.727698687,3891838,0.0,1.0
2021-01-28,274.61,279.83,271.33,275.02,263.345961632,3778696,0.0,1.0
2021-01-29,274.27,277.4,270.62,271.17,259.659386284,3411974,0.0,1.0
2021-02-01,272.66,276.8,272.0,274.73,263.068271541,2324088,0.0,1.0
2021-02-02,278.32,288.25,278.0,286.97,274.788708492,5129178,0.0,1.0
2021-02-03,286.61,289.81,285.1801,288.55,276.301640713,2712770,0.0,1.0
2021-02-04,290.0,295.83,289.525,293.75,281.280911314,2994699,0.0,1.0
2021-02-05,295.0,297.24,292.1901,293.5,281.041523304,2938134,0.0,1.0
2021-02-08,295.0,300.89,294.5,300.15,287.40924436,2826173,0.0,1.0
2021-02-09,299.6,302.45,297.7,300.46,287.706085492,2061005,0.0,1.0
2021-02-10,300.0,305.18,297.75,304.28,291.363934279,3090946,0.0,1.0
2021-02-11,303.98,305.01,299.1718,302.32,289.487132284,2159868,0.0,1.0
2021-02-12,301.99,306.7,301.77,306.32,293.317340438,1977298,0.0,1.0
2021-02-16,310.0,312.92,309.2233,311.96,298.717933935,2792198,0.0,1.0
2021-02-17,310.03,314.98,308.7613,312.74,299.464824525,2308032,0.0,1.0
2021-02-18,309.22,314.5,307.5841,309.9,296.745376736,2095144,0.0,1.0
2021-02-19,310.23,316.78,310.23,315.62,302.222574396,2749542,0.0,1.0
2021-02-22,313.0,320.56,312.21,316.87,303.419514444,3067592,0.0,1.0
2021-02-23,317.98,320.0,310.58,319.21,305.660186214,2942528,0.0,1.0
2021-02-24,320.17,330.97,320.095,330.64,316.605006014,3934425,0.0,1.0
2021-02-25,333.325,335.8131,326.29,327.76,313.847256143,4243779,0.0,1.0
2021-02-26,325.77,328.68,319.04,319.48,305.918725265,3426158,0.0,1.0
2021-03-01,325.0,331.04,323.31,329.92,317.112508595,2959050,1.25,1.0
2021-03-02,330.0,336.19,329.51,330.94,318.092912204,2850325,0.0,1.0
